Amount,AmountOfSecurityOwned,CIK,Company,OwnershipForm,Price,SecuritiesAcquirednDisposed,Ticker,TitleOfSecurity,TransactionCode,TransactionDate
"55,000","80,000",1780664,Adaptive Biotechnologies Corp,D,0.33,A,ADPT,Common Stock,M,12/24/2019
"79,500",500,1780664,Adaptive Biotechnologies Corp,D,30.09,D,ADPT,Common Stock,S,12/24/2019
500,0,1780664,Adaptive Biotechnologies Corp,D,30.61,D,ADPT,Common Stock,S,12/24/2019
"45,000","45,000",1780664,Adaptive Biotechnologies Corp,D,0.33,A,ADPT,Common Stock,M,12/26/2019
"35,000","80,000",1780664,Adaptive Biotechnologies Corp,D,0.45,A,ADPT,Common Stock,M,12/26/2019
"80,000",0,1780664,Adaptive Biotechnologies Corp,D,29.37,D,ADPT,Common Stock,S,12/26/2019
752,"448,737",1351285,ROSETTA STONE INC,D,18.19,D,RST,Common Stock,F,12/24/2019
,13,1270979,Energy Services of America CORP,D,,,ESOA,Preferred Stock,,
,4,1270979,Energy Services of America CORP,I,,,ESOA,Preferred Stock,,
,"29,907",1270979,Energy Services of America CORP,I,,,ESOA,Common Stock,,
"1,700","1,360,134",1270979,Energy Services of America CORP,D,0.77,A,ESOA,Common Stock,P,12/13/2019
"6,000","1,366,134",1270979,Energy Services of America CORP,D,0.83,A,ESOA,Common Stock,P,12/16/2019
"1,500","1,367,634",1270979,Energy Services of America CORP,D,0.81,A,ESOA,Common Stock,P,12/18/2019
"3,000","1,370,634",1270979,Energy Services of America CORP,D,0.76,A,ESOA,Common Stock,P,12/19/2019
"46,484","46,484",1553643,"RELMADA THERAPEUTICS, INC.",D,3.24,A,RLMD,Common Stock,M,12/24/2019
"21,094","67,578",1553643,"RELMADA THERAPEUTICS, INC.",D,4.6,A,RLMD,Common Stock,M,12/24/2019
"3,706","63,872",1553643,"RELMADA THERAPEUTICS, INC.",D,40.64,D,RLMD,Common Stock,F,12/24/2019
"2,388","61,484",1553643,"RELMADA THERAPEUTICS, INC.",D,40.64,D,RLMD,Common Stock,F,12/24/2019
,"831,460",1595648,INFINITE GROUP INC,D,,,IMCI,Common Stock,,
"1,250,000","8,750,000",1115128,Quotient Technology Inc.,I,9.5,D,QUOT,Common Stock,S,12/26/2019
"3,000","4,311,945",1036188,QAD INC,D,51.56,D,QADA_QADB,Class A Common Stock,S,12/26/2019
,"156,206",1036188,QAD INC,D,,,QADA_QADB,Class A Common Stock,,
,"634,982",1036188,QAD INC,I,,,QADA_QADB,Class A Common Stock,,
"5,907","7,907",1778784,"Provident Bancorp, Inc. /MD/",D,0.00,A,PVBC,Common Stock,A,12/19/2019
"225,983","387,472",1532878,CytoDyn Inc.,D,0.00,A,CYDY,Common Stock,A,12/24/2019
"70,055","317,417",1532878,CytoDyn Inc.,D,0.64,D,CYDY,Common Stock,F,12/24/2019
,"15,750",1532878,CytoDyn Inc.,I,,,CYDY,Common Stock,,
"1,200","8,645",930236,REDWOOD TRUST INC,I,16.64,D,RWT,Common Stock,S,12/27/2019
,,1553236,PRESSURE BIOSCIENCES INC,12/19/2028,"17,602",,PBIO,Non-Qualified Stock Option,,3.4
,,1553236,PRESSURE BIOSCIENCES INC,12/19/2028,,"17,602",PBIO,Non-Qualified Stock Option,,0.69
,,1553236,PRESSURE BIOSCIENCES INC,12/19/2029,,"52,806",PBIO,Non-Qualified Stock Option,,0.69
"6,250","298,113",1574135,"Pivotal Software, Inc.",D,14.996,D,PVTL,Class A Common Stock,S,12/24/2019
,11/19/2015,1778610,"CrowdStrike Holdings, Inc.",11/19/2025,"33,368",,CRWD,Stock Options (Right to Buy),,1.67
,09/25/2018,1778610,"CrowdStrike Holdings, Inc.",09/25/2028,"4,818",,CRWD,Stock Options (Right to Buy),,11.13
,,1778610,"CrowdStrike Holdings, Inc.",,,"38,186",CRWD,Class B common stock,,0
"1,545","20,478",1412408,"Phreesia, Inc.",D,0.73,A,PHR,Common Stock,M,12/24/2019
"2,500","7,500",276720,PURE CYCLE CORP,D,2.88,A,PCYO,Common Stock,M,12/27/2019
"2,500","10,000",276720,PURE CYCLE CORP,D,3.67,A,PCYO,Common Stock,M,12/27/2019
"2,500","12,500",276720,PURE CYCLE CORP,D,1.85,A,PCYO,Common Stock,M,12/27/2019
"1,312,206.804","4,737,136.132",1756041,"Partners Group Private Equity (Master Fund), LLC",D,6.0966,A,N/A,"Limited Liability Company Shares, Class I",P,12/01/2019
31,"17,326",1348792,KOHLS Corp,D,0,A,KSS,Common Stock,A,12/24/2019
3,"523,751",56868,PRIMEENERGY RESOURCES CORP,D,151.5,D,PNRG,,S,12/24/2019
,,830656,PRESSURE BIOSCIENCES INC,12/19/2028,"17,602",,PBIO,Non-Qualified Stock Option,,3.4
,,830656,PRESSURE BIOSCIENCES INC,12/19/2028,,"17,602",PBIO,Non-Qualified Stock Option,,0.69
,,830656,PRESSURE BIOSCIENCES INC,12/19/2029,,"52,806",PBIO,Non-Qualified Stock Option,,0.69
,,830656,PRESSURE BIOSCIENCES INC,12/19/2028,"30,078",,PBIO,Non-Qualified Stock Option,,3.4
,,830656,PRESSURE BIOSCIENCES INC,12/19/2028,,"30,078",PBIO,Non-Qualified Stock Option,,0.69
,,830656,PRESSURE BIOSCIENCES INC,12/19/2029,,"90,234",PBIO,Non-Qualified Stock Option,,0.69
,,830656,PRESSURE BIOSCIENCES INC,12/19/2028,"22,835",,PBIO,Non-Qualified Stock Option,,3.4
,,830656,PRESSURE BIOSCIENCES INC,12/19/2028,,"22,835",PBIO,Non-Qualified Stock Option,,0.69
,,830656,PRESSURE BIOSCIENCES INC,12/19/2029,,"68,505",PBIO,Non-Qualified Stock Option,,0.69
"115,000","1,675,625",1581990,PLAINS GP HOLDINGS LP,D,0,A,PAGP,Class A Shares,M,12/24/2019
"10,000","609,053",76605,PATRICK INDUSTRIES INC,D,54.0117,D,PATK,Common Stock,S,12/24/2019
,"50,500",76605,PATRICK INDUSTRIES INC,I,,,PATK,Common Stock,,
988,"7,503",1342016,CARMAX INC,D,0,A,KMX,Common Stock,A,12/26/2019
"8,668.65",0,1424471,"Global Net Lease, Inc.",I,0,D,GNL,Common Stock,D,12/27/2019
,"14,000",1424471,"Global Net Lease, Inc.",D,,,GNL,Common Stock,,
696,"22,171",1296435,Neenah Inc,D,42.82,A,NP,Common stock,M,12/24/2019
536,"22,707",1296435,Neenah Inc,D,59.72,A,NP,Common stock,M,12/24/2019
"1,181","23,888",1296435,Neenah Inc,D,57.95,A,NP,Common stock,M,12/24/2019
"3,507","20,381",1296435,Neenah Inc,D,71.64,D,NP,Common stock,S,12/24/2019
"8,929","185,260",1045810,NVIDIA CORP,D,239.07,D,NVDA,Common,S,12/23/2019
"13,471","171,789",1045810,NVIDIA CORP,D,240.01,D,NVDA,Common,S,12/23/2019
"1,600","170,189",1045810,NVIDIA CORP,D,240.78,D,NVDA,Common,S,12/23/2019
119,"2,358",1296435,Neenah Inc,D,57.95,A,NP,Common stock,M,12/24/2019
119,"2,239",1296435,Neenah Inc,D,71.86,D,NP,Common stock,S,12/24/2019
27,"1,011",906163,NVR INC,D,0,D,NVR,"NVR, Inc. common stock",G,12/23/2019
"445,524","2,358,690",1609805,ARQULE INC,I,1.75,A,ARQL,Common Stock,M,12/24/2019
"38,770","2,319,920",1609805,ARQULE INC,I,20.11,D,ARQL,Common Stock,F,12/24/2019
"823,632","4,362,224",1609805,ARQULE INC,I,1.75,A,ARQL,Common Stock,M,12/24/2019
"71,674","4,290,550",1609805,ARQULE INC,I,20.11,D,ARQL,Common Stock,F,12/24/2019
"400,558","2,123,673",1609805,ARQULE INC,I,1.75,A,ARQL,Common Stock,M,12/24/2019
"34,857","2,088,816",1609805,ARQULE INC,I,20.11,D,ARQL,Common Stock,F,12/24/2019
,"36,923",1609805,ARQULE INC,I,,,ARQL,Common Stock,,
,"8,611",1609805,ARQULE INC,I,,,ARQL,Common Stock,,
100,"157,171",748592,NTN BUZZTIME INC,D,2.77,A,NTN,,P,12/20/2019
300,"199,494",748592,NTN BUZZTIME INC,I,2.8333,A,NTN,,P,12/20/2019
"153,897","241,023",1257911,CytoDyn Inc.,D,0.00,A,CYDY,Common Stock,A,12/24/2019
"56,942","184,081",1257911,CytoDyn Inc.,D,0.64,D,CYDY,Common Stock,F,12/24/2019
"6,000","73,499",1065078,NETWORK 1 TECHNOLOGIES INC,D,2.18,D,NTIP-NYSE,,S,12/24/2019
100,"73,399",1065078,NETWORK 1 TECHNOLOGIES INC,D,2.24,D,NTIP-NYSE,,S,12/26/2019
"4,567","68,832",1065078,NETWORK 1 TECHNOLOGIES INC,D,2.2,D,NTIP-NYSE,,S,12/26/2019
"1,333","67,499",1065078,NETWORK 1 TECHNOLOGIES INC,D,2.2,D,NTIP-NYSE,,S,12/27/2019
570,"444,063",1227025,NEOPHOTONICS CORP,D,0.0,D,NPTN,Common Stock,G,12/26/2019
,"3,076",1227025,NEOPHOTONICS CORP,I,,,NPTN,Common Stock,,
,"8,500",1227025,NEOPHOTONICS CORP,I,,,NPTN,Common Stock,,
,"7,507",1227025,NEOPHOTONICS CORP,I,,,NPTN,Common Stock,,
,"3,798",1227025,NEOPHOTONICS CORP,I,,,NPTN,Common Stock,,
"20,280","6,994,643",1490349,Medley Capital Corp,I,2.171,D,MCC,Common Stock,S,12/23/2019
"27,904","6,966,739",1490349,Medley Capital Corp,I,2.142,D,MCC,Common Stock,S,12/26/2019
286,"4,821",1583724,FEDERAL SIGNAL CORP /DE/,D,0,A,FSS,Common Stock,A,12/27/2019
695,"82,448",1142596,NUVASIVE INC,D,0.00,D,NUVA,Common Stock,G,11/20/2019
"3,500","78,948",1142596,NUVASIVE INC,D,77.38,D,NUVA,Common Stock,S,12/24/2019
"12,500","91,448",1142596,NUVASIVE INC,D,44.24,A,NUVA,Common Stock,M,12/24/2019
260,"91,708",1142596,NUVASIVE INC,D,26.62,A,NUVA,Common Stock,M,12/24/2019
"8,672","83,081",1142596,NUVASIVE INC,D,77.7,D,NUVA,Common Stock,F,12/24/2019
"5,200","476,133",1163739,NABORS INDUSTRIES LTD,D,3.02,D,NBR,Common Stock,D,12/26/2019
"20,000","62,489",1777085,"Chewy, Inc.",D,29.352,D,CHWY,Class A Common Stock,S,12/26/2019
"20,000","42,489",1777085,"Chewy, Inc.",D,29.5,D,CHWY,Class A Common Stock,S,12/26/2019
,"1,433,919",1777085,"Chewy, Inc.",D,,,CHWY,Class A Common Stock,,
"6,000","12,357",1141391,Mastercard Inc,D,24.03,A,MA,Class A Common Stock,M,12/27/2019
"6,000","6,357",1141391,Mastercard Inc,D,300,D,MA,Class A Common Stock,S,12/27/2019
,"106,158",1141391,Mastercard Inc,I,,,MA,Class A Common Stock,,
"5,300","29,190,424",1422478,"Advanzeon Solutions, Inc.",D,0.35,A,CHCR,Common Stock,P,12/24/2019
,"9,671",1642708,MCCORMICK & CO INC,D,,,MKC,Common Stock - Voting,,
,868,1642708,MCCORMICK & CO INC,D,,,MKC,Common Stock - Non Voting,,
"28,437","33,880",1716468,MOMENTA PHARMACEUTICALS INC,D,12.58,A,MNTA,Common Stock,M,12/24/2019
"16,258","50,138",1716468,MOMENTA PHARMACEUTICALS INC,D,13.02,A,MNTA,Common Stock,M,12/24/2019
"6,750","56,888",1716468,MOMENTA PHARMACEUTICALS INC,D,10.83,A,MNTA,Common Stock,M,12/24/2019
"51,445","5,443",1716468,MOMENTA PHARMACEUTICALS INC,D,20,D,MNTA,Common Stock,S,12/24/2019
,"1,211",1215869,MCCORMICK & CO INC,D,,,MKC,Common Stock - Voting,,
,39,1215869,MCCORMICK & CO INC,D,,,MKC,Common Stock - Non Voting,,
"2,000","18,404",1166812,COMMUNITY FINANCIAL CORP /MD/,I,0.0000,D,TCFC,Common Stock,G,12/23/2019
,"4,261",1166812,COMMUNITY FINANCIAL CORP /MD/,D,,,TCFC,Common Stock,,
,"47,136",1166812,COMMUNITY FINANCIAL CORP /MD/,I,,,TCFC,Common Stock,,
,"64,351",1166812,COMMUNITY FINANCIAL CORP /MD/,I,,,TCFC,Common Stock,,
,"93,901",1166812,COMMUNITY FINANCIAL CORP /MD/,I,,,TCFC,Common Stock,,
,294,1166812,COMMUNITY FINANCIAL CORP /MD/,I,,,TCFC,Common Stock,,
"1,307","149,711",899923,MYRIAD GENETICS INC,D,15.98,A,MYGN,Common Stock,M,12/26/2019
"63,492","63,492",1003078,MSC INDUSTRIAL DIRECT CO INC,D,,A,MSM,Class A Common Stock,C,12/23/2019
"63,492",0,1003078,MSC INDUSTRIAL DIRECT CO INC,D,0,D,MSM,Class A Common Stock,G,12/23/2019
,"15,039.546",63754,MCCORMICK & CO INC,D,,,MKC,Common Stock - Voting,,
,205.524,63754,MCCORMICK & CO INC,D,,,MKC,Common Stock - Non Voting,,
"35,437","40,315",1235010,MOMENTA PHARMACEUTICALS INC,D,10.83,A,MNTA,Common Stock,M,12/24/2019
"39,133","1,182",1235010,MOMENTA PHARMACEUTICALS INC,D,20,D,MNTA,Common Stock,S,12/24/2019
"17,000","803,850",897744,"Cue Biopharma, Inc.",I,16.82,D,CUE,Common Stock,S,12/23/2019
"19,647","784,203",897744,"Cue Biopharma, Inc.",I,17.53,D,CUE,Common Stock,S,12/26/2019
,"9,000",897744,"Cue Biopharma, Inc.",D,,,CUE,Common Stock,,
,2,1780236,Energy Services of America CORP,D,,,ESOA,Preferred Stock,,
"5,000","303,832",1780236,Energy Services of America CORP,D,0.75,A,ESOA,Common Stock,P,12/12/2019
"3,388","5,495",1456533,CARMAX INC,D,0,A,KMX,Common Stock,A,12/26/2019
285,"4,552",1629083,FEDERAL SIGNAL CORP /DE/,D,0,A,FSS,Common Stock,A,12/27/2019
"11,477","12,210",1491601,HEXCEL CORP /DE/,D,50.5,A,HXL,Common Stock,M,12/26/2019
"9,352","2,858",1491601,HEXCEL CORP /DE/,D,73.64,D,HXL,Common Stock,F,12/26/2019
480,"19,965",1167987,Howard Hughes Corp,D,124.78,A,HHC,,P,12/24/2019
480,"19,485",1167987,Howard Hughes Corp,D,0,D,HHC,,G,12/25/2019
"3,000","115,655",1699684,BRAINSTORM CELL THERAPEUTICS INC.,D,3.88,A,BCLI,Common Stock,P,12/24/2019
60,"23,777",1345567,FULLER H B CO,D,0.0000,A,FUL,Common Stock,G,12/24/2019
,5.8,1345567,FULLER H B CO,I,,,FUL,Common Stock,,
"3,668","51,919",1522365,"CoreCivic, Inc.",D,17.2794,D,CXW,Common Stock,S,12/23/2019
"6,300","287,735",1206928,"Alexander & Baldwin, Inc.",D,20.75,D,ALEX,Common Stock,S,12/26/2019
751,"212,103",1373630,"ExlService Holdings, Inc.",D,24.77,A,EXLS,,M,12/23/2019
751,"211,352",1373630,"ExlService Holdings, Inc.",D,70.9,D,EXLS,,S,12/23/2019
"1,099","268,071",1373630,"ExlService Holdings, Inc.",I,70.9,D,EXLS,,S,12/23/2019
,"40,219",1373630,"ExlService Holdings, Inc.",I,,,EXLS,,,
,"177,134",1373630,"ExlService Holdings, Inc.",I,,,EXLS,,,
,"84,000",1373630,"ExlService Holdings, Inc.",I,,,EXLS,,,
,"84,000",1373630,"ExlService Holdings, Inc.",I,,,EXLS,,,
"1,075","22,542",1468748,Kodiak Sciences Inc.,D,10.29,A,KOD,Common Stock,M,12/23/2019
739,"68,001",885639,KOHLS Corp,D,0,A,KSS,Common Stock,A,12/24/2019
833,"64,001",885639,KOHLS Corp,D,0,A,KSS,Common Stock,A,12/24/2019
"1,618","294,009",885639,KOHLS Corp,D,0,A,KSS,Common Stock,A,12/24/2019
26,"18,417",885639,KOHLS Corp,D,0,A,KSS,Common Stock,A,12/24/2019
602,"40,003",885639,KOHLS Corp,D,0,A,KSS,Common Stock,A,12/24/2019
113,"39,890",885639,KOHLS Corp,D,50.77,D,KSS,Common Stock,F,12/26/2019
26,"6,335",885639,KOHLS Corp,D,0,A,KSS,Common Stock,A,12/24/2019
38,"2,900",885639,KOHLS Corp,D,0,A,KSS,Common Stock,A,12/24/2019
"6,200","845,889",930420,KFORCE INC,I,40.6,D,KFRC,Common Stock,S,12/24/2019
100,"845,789",930420,KFORCE INC,I,40.67,D,KFRC,Common Stock,S,12/26/2019
,"166,510",930420,KFORCE INC,D,,,KFRC,Common Stock,,
"10,500","317,168",930420,KFORCE INC,D,40.56,D,KFRC,Common Stock,S,12/24/2019
"60,182","60,182",1689843,"Hostess Brands, Inc.",D,,A,TWNK,Class A Common Stock,J,12/24/2019
"60,182",0,1689843,"Hostess Brands, Inc.",D,14.4945,D,TWNK,Class A Common Stock,S,12/24/2019
"85,000","85,000",1689843,"Hostess Brands, Inc.",D,,A,TWNK,Class A Common Stock,J,12/26/2019
"85,000",0,1689843,"Hostess Brands, Inc.",D,14.5324,D,TWNK,Class A Common Stock,S,12/26/2019
"63,631","63,631",1689843,"Hostess Brands, Inc.",D,,A,TWNK,Class A Common Stock,J,12/27/2019
"63,631",0,1689843,"Hostess Brands, Inc.",D,14.5797,D,TWNK,Class A Common Stock,S,12/27/2019
"5,000","75,492",1300833,HERSHA HOSPITALITY TRUST,D,14.54,D,HT,Class A Common Shares of Beneficial Interest,S,12/26/2019
"198,767","2,321,199",1661998,"Homology Medicines, Inc.",I,21.9501,D,FIXX,Common Stock,S,12/24/2019
"151,233","1,766,106",1661998,"Homology Medicines, Inc.",I,21.9501,D,FIXX,Common Stock,S,12/24/2019
,"1,158,333",1661998,"Homology Medicines, Inc.",I,,,FIXX,Common Stock,,
,"186,734",884650,INFINITE GROUP INC,D,,,IMCI,Common Stock,,
"3,502","403,248",1617486,"Cardlytics, Inc.",D,63.04,D,CDLX,Common Stock,S,12/26/2019
"5,738","397,510",1617486,"Cardlytics, Inc.",D,64.25,D,CDLX,Common Stock,S,12/26/2019
760,"396,750",1617486,"Cardlytics, Inc.",D,64.93,D,CDLX,Common Stock,S,12/26/2019
,800,1617486,"Cardlytics, Inc.",I,,,CDLX,Common Stock,,
,"143,112",1617486,"Cardlytics, Inc.",I,,,CDLX,Common Stock,,
"10,000,000","10,000,000",1640072,Bank of New York Mellon Corp,D,38.36,A,bk,common stock,A,08/14/2014
"2,000","17,105",1231996,EAGLE FINANCIAL SERVICES INC,I,31.1375,D,EFSI,,S,12/26/2019
"4,700","2,500,636.29",1378701,GDL FUND,D,9.2728,A,GDL,,P,12/24/2019
,"1,715,927.23",1378701,GDL FUND,I,,,GDL,,,
,"7,174.2",1378701,GDL FUND,I,,,GDL,,,
,"219,884",1378701,GDL FUND,I,,,GDL,,,
,"54,846",1378701,GDL FUND,I,,,GDL,,,
,"40,239",1378701,GDL FUND,I,,,GDL,,,
,"52,168",1378701,GDL FUND,I,,,GDL,,,
"98,750","1,244,416",1175454,FLEETCOR TECHNOLOGIES INC,D,23,A,FLT,Common Stock,M,12/24/2019
"123,222","466,730",1374328,"FITLIFE BRANDS, INC.",I,,A,FTLF,Common Stock,C,12/23/2019
,"72,272",1374328,"FITLIFE BRANDS, INC.",D,,,FTLF,Common Stock,,
,"11,287",1374328,"FITLIFE BRANDS, INC.",I,,,FTLF,Common Stock,,
,"3,860",1374328,"FITLIFE BRANDS, INC.",I,,,FTLF,Common Stock,,
,13,1357971,Energy Services of America CORP,D,,,ESOA,Preferred Stock,,
,2,1357971,Energy Services of America CORP,I,,,ESOA,Preferred Stock,,
"10,000","176,251",1357971,Energy Services of America CORP,D,0.75,A,ESOA,Common Stock,P,12/18/2019
,"131,003",1357971,Energy Services of America CORP,I,,,ESOA,Common Stock,,
0.3772,"2,087.6204",1246206,CENTURY BANCORP INC,D,152.98,A,CNBKA,401(k) Company Stock Fund,P,12/27/2019
,"5,912.5722",1246206,CENTURY BANCORP INC,D,,,CNBKA,Class A Common,,
"18,020","109,049.675",1083206,CARNIVAL CORP,D,50.94,D,CCL,Common Stock,F,12/24/2019
,"478,074",1083206,CARNIVAL CORP,I,,,CCL,Common Stock,,
"18,020","109,049.675",1083206,CARNIVAL PLC,D,50.94,D,CUK,Trust Shares (beneficial Interest In Special Voting Share),F,12/24/2019
,"478,074",1083206,CARNIVAL PLC,I,,,CUK,Trust Shares (beneficial Interest In Special Voting Share),,
"4,175","914,697",1496596,"Ameresco, Inc.",D,17,D,AMRC,Class A Common Stock,S,12/24/2019
"55,825","858,872",1496596,"Ameresco, Inc.",D,17,D,AMRC,Class A Common Stock,S,12/26/2019
"60,000","798,872",1496596,"Ameresco, Inc.",D,17.25,D,AMRC,Class A Common Stock,S,12/26/2019
"10,000","26,621",1346980,"Chaparral Energy, Inc.",D,,A,CHAP,Class A Common Stock,M,12/20/2019
"24,964,389","28,267,602",1375195,CORETEC GROUP INC.,I,0.022,A,CRTG,Common Stock,C,12/27/2019
"2,947","145,742",1071739,CENTENE CORP,D,63.34,D,CNC,Common Stock,S,12/26/2019
"83,333","1,805,237",1423029,"ARROWHEAD PHARMACEUTICALS, INC.",D,63.5,D,ARWR,Common Stock,S,12/24/2019
