AmountDer,AmountOfSecurityOwnedDer,CIKDer,Company,ConversionExercisePrice,ExpirationDate,OwnershipFormDer,PriceDer,SecuritiesAcquired,SecuritiesDisposed,Ticker,TitleOfSecurityDer,TitleofDerivativeSecurity,TransactionCodeDer,TransactionDateDer
"6,398","2,363",1235010,MOMENTA PHARMACEUTICALS INC,10.83,2/9/2026,D,0,"6,398",,MNTA,Common Stock,Stock Option (Right to Buy),M,12/24/2019
"29,039",0,1235010,MOMENTA PHARMACEUTICALS INC,10.83,2/9/2026,D,0,"29,039",,MNTA,Common Stock,Stock Option (Right to Buy),M,12/24/2019
"15,000,000","17,266,667",1615198,"GULFSLOPE ENERGY, INC.",0.0278,1/1/2024,D,0.0278,"15,000,000",,GSPE,COMMON STOCK,STOCK OPTION (right to buy),A,1/1/2017
"18,000,000","35,266,667",1615198,"GULFSLOPE ENERGY, INC.",0.075,12/31/2025,D,0.075,"18,000,000",,GSPE,COMMON STOCK,STOCK OPTION (right to buy),A,6/1/2018
"11,477",0,1491601,HEXCEL CORP /DE/,50.5,1/30/2027,D,0,,"11,477",HXL,Common Stock,Employee Stock Option (Right to Buy),M,12/26/2019
"2,500,000","3,416,667",1226760,"GULFSLOPE ENERGY, INC.",0.0278,1/1/2024,D,0.0278,"2,500,000",,GSPE,COMMON STOCK,STOCK OPTION (right to buy),A,1/1/2017
"4,500,000","7,916,667",1226760,"GULFSLOPE ENERGY, INC.",0.075,12/31/2025,D,0.075,"4,500,000",,GSPE,COMMON STOCK,STOCK OPTION (right to buy),A,6/1/2018
"300,000","300,000",1745285,AGENUS INC,4.12,12/24/2029,D,0,"300,000",,AGEN,Common Stock,Stock Option (Right to buy),A,12/24/2019
"14,278","14,278",1345567,FULLER H B CO,28.4,1/26/2022,D,,,,FUL,Common Stock,Employee Stock Option (Right-to-Buy),,
"16,408","16,408",1345567,FULLER H B CO,33.38,1/19/2026,D,,,,FUL,Common Stock,Employee Stock Option (Right-to-Buy),,
"10,291","10,291",1345567,FULLER H B CO,39.64,1/24/2023,D,,,,FUL,Common Stock,Employee Stock Option (Right-to-Buy),,
"12,534","12,534",1345567,FULLER H B CO,41,1/22/2025,D,,,,FUL,Common Stock,Employee Stock Option (Right-to-Buy),,
"16,483","16,483",1345567,FULLER H B CO,45.05,1/24/2029,D,,,,FUL,Common Stock,Employee Stock Option (Right-to-Buy),,
"9,154","9,154",1345567,FULLER H B CO,48.92,1/23/2024,D,,,,FUL,Common Stock,Employee Stock Option (Right-to-Buy),,
"14,336","14,336",1345567,FULLER H B CO,51.1,1/26/2027,D,,,,FUL,Common Stock,Employee Stock Option (Right-to-Buy),,
"13,100","13,100",1345567,FULLER H B CO,53.57,1/25/2028,D,,,,FUL,Common Stock,Employee Stock Option (Right-to-Buy),,
"34,403","34,403",1345567,FULLER H B CO,57.7,10/20/2027,D,,,,FUL,Common Stock,Performance Stock Option (Right-to-Buy),,
"1,791.57","1,791.57",1345567,FULLER H B CO,0,1/24/2022,D,,,,FUL,Common Stock,Performance Stock Units,,
949.07,949.07,1345567,FULLER H B CO,0,1/25/2021,D,,,,FUL,Common Stock,Performance Stock Units,,
548.16,548.16,1345567,FULLER H B CO,0,1/26/2020,D,,,,FUL,Common Stock,Performance Stock Units,,
840.05,840.05,1345567,FULLER H B CO,0,1/24/2020,D,,,,FUL,Common Stock,Restricted Stock Units,,
"1,791.57","1,791.57",1345567,FULLER H B CO,0,1/24/2022,D,,,,FUL,Common Stock,Restricted Stock Units,,
949.07,949.07,1345567,FULLER H B CO,0,1/25/2021,D,,,,FUL,Common Stock,Restricted Stock Units,,
"1,183","1,183",1345567,FULLER H B CO,0,1/26/2020,D,,,,FUL,Common Stock,Restricted Stock Units,,
751,"29,259",1373630,"ExlService Holdings, Inc.",24.77,2/7/2022,D,0,,751,EXLS,,Employee Stock Options (right to buy),M,12/23/2019
"1,075","423,925",1468748,Kodiak Sciences Inc.,10.29,8/31/2028,D,0,,"1,075",KOD,Common Stock,Stock Option (Right to Buy),M,12/23/2019
"85,000","85,000",1288123,AGENUS INC,4.12,12/24/2029,D,0,"85,000",,AGEN,Common Stock,Stock Option (Right to buy),A,12/24/2019
"11,248","11,248",930420,KFORCE INC,,,D,,,,KFRC,Common Stock,Restricted Stock Units,,
"75,000","75,000",1758521,AGENUS INC,4.12,12/24/2029,D,0,"75,000",,AGEN,Common Stock,Stock Option (Right to buy),A,12/24/2019
"60,182","8,704,607",1689843,"Hostess Brands, Inc.",,,D,,,"60,182",TWNK,Class A Common Stock,Class B Common Stock,J,12/24/2019
"85,000","8,619,607",1689843,"Hostess Brands, Inc.",,,D,,,"85,000",TWNK,Class A Common Stock,Class B Common Stock,J,12/26/2019
"63,631","8,555,976",1689843,"Hostess Brands, Inc.",,,D,,,"63,631",TWNK,Class A Common Stock,Class B Common Stock,J,12/27/2019
"250,000","250,000",884650,INFINITE GROUP INC,0.05,12/22/2024,D,0.04,"250,000",,IMCI,Common Stock,Option,A,12/23/2019
"200,000","200,000",884650,INFINITE GROUP INC,0.04,12/9/2014,D,,,,IMCI,Common Stock,Option,,
"250,000","250,000",884650,INFINITE GROUP INC,0.02,6/1/2026,D,,,,IMCI,Common Stock,Option,,
"500,000","500,000",884650,INFINITE GROUP INC,0.04,9/29/2021,D,,,,IMCI,Common Stock,Option,,
"400,000","400,000",884650,INFINITE GROUP INC,0.04,7/31/2022,D,,,,IMCI,Common Stock,Option,,
"100,000","100,000",884650,INFINITE GROUP INC,0.04,7/17/2022,D,,,,IMCI,Common Stock,Option,,
"250,000","250,000",884650,INFINITE GROUP INC,0.1,3/31/2021,D,,,,IMCI,Common Stock,Convertible Note,,
0,"669,582",1175454,FLEETCOR TECHNOLOGIES INC,23,12/14/2020,D,0,,"98,750",FLT,Common Stock,Employee Stock Options,M,12/24/2019
"119,565",0,1374328,"FITLIFE BRANDS, INC.",4.6,,I,,,550,FTLF,Common stock,Series A Preferred Stock,C,12/23/2019
"75,000","75,000",1393207,AGENUS INC,4.12,12/24/2029,D,0,"75,000",,AGEN,Common Stock,Stock Option (Right to buy),A,12/24/2019
"10,000",0,1346980,"Chaparral Energy, Inc.",,,D,,,"10,000",CHAP,Class A Common Stock,Restricted Stock Units,M,12/20/2019
"500,000","500,000",1711184,AGENUS INC,4.12,12/24/2029,D,0,"500,000",,AGEN,Common Stock,Stock Option (Right to buy),A,12/24/2019
"1,500,000","1,500,000",935679,AGENUS INC,4.12,12/24/2029,D,0,"1,500,000",,AGEN,Common Stock,Stock Option (Right to buy),A,12/24/2019
